hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
223,750.8025,753.7725,642.2422222,673.56,694.1866667,642.0672222,677.0461111,703.2997222,695.5452778
224,775.7672727,796.78,692.1163636,744.0690909,756.1436364,703.3709091,732.2918182,768.6490909,771.8527273
225,754.03,751.65,665.17,706.91,708.35,664.54,695.72,716.38,722.59
226,673.1525,676.7825,567.82,580.8525,524.2525,547.1275,601.4325,545.8325,461.4175
227,710.5575,686.48375,608.616125,605.76625,602.385,606.1475,683.06875,688.30375,662.08375
228,665.98,668.72,591.29,633.14,561.77,225.08,462.7,555.46,643.41
229,732.3,814.0433333,742.0441667,708.5033333,678.07,641.6791667,626.8825,657.6333333,683.0941667
230,680.96,683.45,604.39,643.8,638.48,585.23,611.99,658.79,660.67
231,813.82,733.86875,666.17875,707.075,807.84125,693.38875,697.605,758.9625,686.26
232,668.865,671.985,595.77,597.755,221.375,342.135,490.585,594.125,643.695
233,797.2407143,795.8735714,706.6314286,750.5857143,754.5135714,714.695,743.9464286,764.5092857,771.1021429
234,745.5042857,719.6896429,631.1307143,696.4239286,689.6907143,621.9178571,645.5653571,659.6175,720.5482143
235,770.8505882,784.1141176,684.8361765,729.7185294,725.8447059,689.3664706,718.1376471,755.8241176,748.2814706
236,924.0683333,894.0758333,810.7,859.9958333,852.0166667,892.2416667,916.4708333,857.2033333,855.24
237,649.3866667,610.92,516.22,596.96,576.6666667,562.7133333,590.0133333,704.81,754.6233333
238,978.2923529,945.9905882,837.2752941,874.37,940.1041176,957.3776471,903.4111765,847.2964706,890.8358824
239,774.9535294,791.3552941,652.0923529,714.4664706,720.9117647,677.1535294,684.7623529,716.4958824,748.75
240,766.9864706,783.3367647,675.3370588,728.9091176,726.3938235,683.83,700.3576471,720.9485294,737.3402941
241,775.1621429,816.7721429,708.905,755.1078571,793.5935714,764.8942857,770.6107143,799.53,800.2671429
242,670.48,673.53,596.8933333,607.2766667,537.0233333,369.86,403.9033333,503.6233333,609.2833333
243,792.2456,840.298,734.556,764.7364,783.4048,741.918,743.8576,795.7104,798.2312
244,871.015,856.2775,677.465,649.9575,668.9875,630.945,714.45,732.8475,663.6375
245,842.0432558,841.8313953,721.0146512,770.5967442,782.9625581,744.4297674,773.6376744,800.0813953,816.0176744
246,893.5114286,807.7792857,690.3142857,687.0678571,797.3435714,791.1607143,884.2228571,857.4014286,809.0421429
247,757.3253333,773.2433333,669.5033333,726.2353333,724.482,648.5733333,630.4846667,673.6506667,687.7993333
248,757.6525,783.97,695.34,735.605,642.1875,591.24,663.3225,702.6025,758.29
249,641.231875,636.368125,529.6553125,561.32375,569.8275,543.4860625,561.57375,575.435,556.160625
250,727.0230769,734.0742308,619.8788462,679.2803846,689.1734615,640.1588462,673.57,708.6426923,694.25
251,909.8504545,1081.350455,943.3727273,773.5327273,804.4568182,842.4968182,929.4977273,895.2709091,737.6804545
252,933.9426667,891.988,733.226,716.7226667,791.708,747.3446667,771.3253333,721.8933333,776.5553333
253,891.17875,896.86375,798.345,819.61375,711.765,632.52375,688.2025,765.62875,735.4275
254,773.414375,780.601875,711.58375,768.244375,728.840625,624.441875,677.998125,695.5175,715.379375
255,767.895,795.9233333,726.7716667,820.6166667,819.1283333,627.105,590.6016667,578.0066667,590.045
256,786.4016667,816.6566667,625.73,758.975,847.5433333,663.115,737.4683333,777.875,812.3966667
257,675.8283333,771.9791667,723.8233333,762.7433333,715.405,655.8075,625.0758333,533.5441667,547.6391667
258,679.68125,643.76,562.3225,615.8325,606.50475,567.89325,562.7795,604.90875,624.06
259,813.4228571,876.7614286,742.4557143,750.7171429,693.7214286,664.2557143,720.8542857,757.6842857,692.3885714
260,793.328,791.534,701.092,740.82,748.931,715.078,746.439,759.284,768.499
261,918.2913333,905.6906667,798.2626667,870.0826667,899.082,812.3286667,774.294,775.0586667,742.1353333
262,735.6238462,763.9915385,667.4176923,716.2792308,752.3361538,712.2953846,723.1515385,742.5576923,760.4792308
263,640.866962,611.5489873,526.7947468,553.5640759,549.1457975,502.9351013,528.6478481,576.0817468,581.6907595
264,802.0737931,771.2996552,676.0224138,707.1996552,663.7024138,622.197931,658.03,673.3731034,677.4224138
265,822.7535294,706.5682353,583.2117647,611.6270588,600.2517647,494.5876471,560.3058824,776.8941176,952.5982353
266,792.686,737.83,699.338,763.456,733.416,758.032,831.226,655.102,605.36
267,713.95875,669.705,547.59375,579.70125,599.4525,520.50125,559.09875,599.87375,573.4575
268,666.9027778,667.8772222,574.0113333,593.3517222,575.9578889,547.3698333,569.3424444,582.4816667,580.7911111
269,916.48,926.905,638.73,284.165,525.365,699.615,804.835,798.11,416.025
270,782.3711111,770.0577778,689.1516667,740.7533333,748.5677778,695.9188889,707.0694444,712.7516667,714.855
271,744.1414286,734.1228571,692.6228571,746.2042857,728.2571429,840.8828571,720.3457143,670.2371429,668.0757143
272,738.5227119,751.4428814,645.7315254,694.8401695,709.939661,669.0337288,634.1098305,650.7916949,609.1222034
273,676.8596429,694.9307143,613.3660714,624.7203571,605.4157143,520.2189286,523.3567857,555.8153571,561.8603571
274,803.62,800.68,708.61,748.58,756.52,720.47,753.06,765.62,775.04
275,780.6133333,727.89,710.6133333,669.27,668.17,679.42,735.4533333,744.03,712.3166667
276,747.0676471,749.7916176,639.4898529,677.4210294,672.2058824,636.6797059,636.1498529,655.7744118,690.6760294
277,738.1386486,734.3381081,653.6183784,692.1705405,679.18,652.2954054,679.4943243,692.1037838,711.2475676
