hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
246,886.8592857,794.6428571,772.3328571,806.3992857,872.7492857,777.6742857,764.5078571,734.6528571,796.1228571
247,767.7006667,757.9086667,749.3406667,768.5266667,730.2546667,710.5093333,753.154,746.204,770.0866667
248,753.5275,764.7625,751.2625,799.0525,675.5775,660.19,734.635,783.145,791.5575
249,640.261875,582.2631875,547.2523125,586.7475,636.758125,611.76,630.72625,571.754375,488.504375
250,737.0730769,719.3796154,694.2757692,742.0603846,757.8865385,731.9623077,748.395,727.5965385,745.7915385
251,887.5218182,969.5313636,856.765,625.9922727,717.4831818,914.7431818,1040.364091,843.1181818,813.8531818
252,906.1026667,861.5013333,757.516,719.78,766.75,711.302,717.6906667,642.132,747.7726667
253,864.875,854.86875,854.63875,855.475,756.63875,719.005,742.79,779.8975,730.535
254,750.11,723.524375,725.11,699.05125,690.35625,706.406875,738.258125,652.485,701.51625
255,737.42,740.4583333,774.805,903.175,899.9066667,787.835,661.065,713.685,736.2333333
256,754.5666667,718.4433333,588.445,644.1066667,836.3633333,884.9183333,993.51,834.3833333,754.365
257,648.5908333,720.07,736.3316667,763.3116667,677.5925,678.155,795.1825,705.4558333,691.3233333
258,684.27375,595.0575,598.0625,650.01125,688.21625,671.56625,624.99125,594.395,495.205
259,786.9114286,819.2757143,781.2657143,797.5971429,740.2485714,793.7171429,851.3528571,746.6357143,778.7842857
260,793.538,773.412,758.508,806.484,793.474,772.63,816.541,802.313,803.08
261,891.952,812.024,839.716,902.0146667,844.9266667,742.7573333,802.8446667,842.6966667,830.0726667
262,763.0753846,780.9315385,774.4484615,797.4815385,801.5076923,772.6438462,794.8023077,761.86,773.2769231
263,650.3031646,581.1624177,563.0731772,580.2801013,600.563519,591.6973924,608.3804051,591.7533165,584.0484177
264,783.0327586,719.5041379,675.5589655,675.9382759,621.9086207,717.2982759,835.9517241,747.2975862,722.6006897
265,813.7794118,698.5329412,664.7082353,692.4111765,609.9982353,587.0817647,600.1723529,682.7194118,673.0070588
266,772.49,711.624,771.302,822.01,751.348,759.814,666.382,694.58,753.914
267,696.2425,637.87625,587.19375,644.3625,692.7175,717.54375,747.245,647.44625,600.4625
268,670.9511111,640.9777778,629.9355556,634.6272222,642.1594444,627.18,665.2216667,633.6788889,491.8338889
269,881.81,867.48,673.015,256.6,252.655,453.385,718.66,810.265,880.2
270,793.0622222,752.7044444,749.3766667,797.5488889,785.4105556,750.0205556,779.7522222,747.5022222,749.9044444
271,720.2528571,698.6028571,734.5814286,752.0928571,660.9457143,632.9542857,609.8028571,622.9771429,688.8157143
272,735.5183051,729.76,702.1177966,730.8264407,744.5113559,681.6750847,700.0552542,690.5925424,715.5733898
273,667.5553571,690.4296429,685.0896429,659.1021429,634.9521429,637.8982143,655.3817857,610.5646429,595.4321429
274,802.79,781.53,765.78,813.89,800.25,778.52,821.53,807.66,808.24
275,822.2466667,715.6333333,699.95,765.81,719.7,744.2933333,722.37,633.26,669.72
276,749.3763235,725.3083824,712.6185294,744.2775,748.0979412,743.2626471,773.0383824,737.6561765,729.0764706
277,754.082973,724.3843243,706.7540541,768.5372973,742.8624324,725.4735135,794.4486486,777.2135135,767.8156757
